Name,Description,Source Organization,Source,Sample/Representative Date,Region/Regional Scope,Other,"Composition, Parameters/Conditions",Valid until,PCR title & Number,Functional Unit,Excluded Lifecycle Stages,Environmental Parameters/Impact Categories Included,HS Codes,Date Published,Unit,Value,Link to EPD,Registration/ID Number,Components,Equation,Primary Product,Industry Tags,id,created_at
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1978,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,1.3793320372353,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",738564,2024-06-02 17:54:21.845024
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1971,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,1.1844191044744,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",820458,2024-06-02 17:55:24.56733
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2014,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,3.4729545248923,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",879236,2024-06-02 17:56:27.077016
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1979,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,5.7061166081161,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1042505,2024-06-02 17:59:04.746484
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2002,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,10.258036114397,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1042523,2024-06-02 17:59:04.746484
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1996,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,8.4157894049902,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1151702,2024-06-02 18:00:38.805265
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2005,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,11.715971612438,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1151712,2024-06-02 18:00:38.805265
Indirect N2O from non-agricultural NOx,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2007,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,9.3513825486621,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1151747,2024-06-02 18:00:38.805265
Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1975,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,4.716024063936,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1183489,2024-06-02 18:01:14.832034
Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2002,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,7.8991298117871,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1183498,2024-06-02 18:01:14.832034
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1974,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,1.2574796695276,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1299904,2024-06-02 18:03:04.552548
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2011,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,3.3014951938758,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1299922,2024-06-02 18:03:04.552548
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1986,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,1.7301984639636,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1359566,2024-06-02 18:04:00.854
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1990,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,1.8112712814133,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1359568,2024-06-02 18:04:00.854
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1975,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CO2,173866.0195908,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1423256,2024-06-02 18:04:51.953143
Indirect N2O from non-agricultural NOx,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2021,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,8.1429627690539,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1475857,2024-06-02 18:05:46.020766
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2018,int aviation,Fuel type: bio,,,,,,,,26 November 2023,kt CH4,9.21e-08,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1533163,2024-06-02 18:06:54.235194
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2000,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,9.8642126529246,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",631150,2024-06-02 17:52:45.934551
Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1998,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,7.0276503639384,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1107506,2024-06-02 17:59:59.193855
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2003,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,10.200790377104,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1151710,2024-06-02 18:00:38.805265
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1977,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,5.3169112327986,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1183463,2024-06-02 18:01:14.832034
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1974,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,1.2574796695276,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1280164,2024-06-02 18:02:38.438714
Indirect N2O from non-agricultural NH3,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1983,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,0.14131060737985,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1475859,2024-06-02 18:05:46.020766
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2016,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,15.325130506374,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1493543,2024-06-02 18:06:05.427402
Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1990,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,5.9404160565832,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1493550,2024-06-02 18:06:05.427402
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1989,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,2.0301369089108,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1533166,2024-06-02 18:06:54.235194
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2019,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CO2,617763.22926445,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1569740,2024-06-02 18:07:36.648743
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2011,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,13.205980775504,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",631153,2024-06-02 17:52:45.934551
Civil Aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2001,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt CH4,2.4206019079774,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",710906,2024-06-02 17:53:59.411487
Memo: International aviation,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,2009,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,12.145659555523,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1042526,2024-06-02 17:59:04.746484
Indirect N2O from non-agricultural NH3,,EDGAR - Emissions Database for Global Atmospheric Research,https://edgar.jrc.ec.europa.eu/dataset_ghg70,1991,int aviation,Fuel type: fossil,,,,,,,,26 November 2023,kt N2O,0.16855038918705,,,,,,"Agriculture, Alloys, Aviation, Biomass, Cement, Chemicals, Construction, Crops, Disposal, Electricity, Electronics, Energy, Fuel, Glass, Harvest, Land, Manufacturing, Metal, Production, Soil, Transportation, Waste, Water",1042576,2024-06-02 17:59:04.746484
