Name,Description,Source Organization,Source,Sample/Representative Date,Region/Regional Scope,Other,"Composition, Parameters/Conditions",Valid until,PCR title & Number,Functional Unit,Excluded Lifecycle Stages,Environmental Parameters/Impact Categories Included,HS Codes,Date Published,Unit,Value,Link to EPD,Registration/ID Number,Components,Equation,Primary Product,Industry Tags
"Fuel oil - Consumption by other manuf., const. and non-fuel ind.",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1050.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Production,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",5400.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Imports,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",755.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Own use by oil refineries,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1040.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Consumption by manufacturing, construction and non-fuel industry",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1320.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
"Fuel oil - Consumption in agriculture, forestry and fishing",Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",2.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Total energy supply,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",6435.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Final consumption,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1991.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",1440.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - production from refineries,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",5900.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
Fuel oil - Imports,Production trade and supply of fuel oil,United Nations Statistics Division,https://datasource.kapsarc.org/explore/dataset/productiontrade-and-supply-of-fuel-oil/information/?disjunctive.country_or_area,1990.0,yugoslavia sfr former,,,,,,,,,,"Metric tons, thousand",660.0,,,,,,"Agriculture, Aviation, Commerce, Construction, Electricity, Energy, Export, Fishing, Food, Forestry, Fuel, Import, Machinery, Manufacturing, Metal, Minerals, Mining, Ore, Paper, Production, Services, Wood"
